disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
炭疽,全数把握,D_growth,0,0,13,0.0
炭疽,全数把握,D_spatial,0,0,13,0.0
炭疽,全数把握,combined,0,0,13,0.0
無菌性髄膜炎,sentinel/その他,D_rare,0,0,13,0.0
無菌性髄膜炎,sentinel/その他,D_stat,6,6,13,0.462
無菌性髄膜炎,sentinel/その他,D_growth,0,0,13,0.0
無菌性髄膜炎,sentinel/その他,D_spatial,0,0,13,0.0
無菌性髄膜炎,sentinel/その他,combined,6,6,13,0.462
痘そう,全数把握,D_rare,0,0,13,0.0
痘そう,全数把握,D_stat,0,0,13,0.0
痘そう,全数把握,D_growth,0,0,13,0.0
痘そう,全数把握,D_spatial,0,0,13,0.0
痘そう,全数把握,combined,0,0,13,0.0
発しんチフス,全数把握,D_rare,0,0,13,0.0
発しんチフス,全数把握,D_stat,0,0,13,0.0
発しんチフス,全数把握,D_growth,0,0,13,0.0
発しんチフス,全数把握,D_spatial,0,0,13,0.0
発しんチフス,全数把握,combined,0,0,13,0.0
百日咳,全数把握,D_rare,0,0,13,0.0
百日咳,全数把握,D_stat,14,14,13,1.077
百日咳,全数把握,D_growth,0,0,13,0.0
百日咳,全数把握,D_spatial,0,0,13,0.0
百日咳,全数把握,combined,15,15,13,1.154
破傷風,全数把握,D_rare,57,57,13,4.385
破傷風,全数把握,D_stat,0,0,13,0.0
破傷風,全数把握,D_growth,0,0,13,0.0
破傷風,全数把握,D_spatial,0,0,13,0.0
破傷風,全数把握,combined,57,57,13,4.385
突発性発しん,sentinel/その他,D_rare,0,0,13,0.0
突発性発しん,sentinel/その他,D_stat,0,0,13,0.0
突発性発しん,sentinel/その他,D_growth,0,0,13,0.0
突発性発しん,sentinel/その他,D_spatial,0,0,13,0.0
突発性発しん,sentinel/その他,combined,0,0,13,0.0
細菌性赤痢,全数把握,D_rare,38,38,13,2.923
細菌性赤痢,全数把握,D_stat,0,0,13,0.0
細菌性赤痢,全数把握,D_growth,0,0,13,0.0
細菌性赤痢,全数把握,D_spatial,0,0,13,0.0
細菌性赤痢,全数把握,combined,38,38,13,2.923
細菌性髄膜炎,sentinel/その他,D_rare,0,0,13,0.0
細菌性髄膜炎,sentinel/その他,D_stat,2,2,13,0.154
細菌性髄膜炎,sentinel/その他,D_growth,0,0,13,0.0
細菌性髄膜炎,sentinel/その他,D_spatial,0,0,13,0.0
細菌性髄膜炎,sentinel/その他,combined,2,2,13,0.154
結核,全数把握,D_rare,0,0,13,0.0
結核,全数把握,D_stat,1,1,13,0.077
結核,全数把握,D_growth,0,0,13,0.0
結核,全数把握,D_spatial,0,0,13,0.0
結核,全数把握,combined,1,1,13,0.077
腎症候性出血熱,全数把握,D_rare,0,0,13,0.0
腎症候性出血熱,全数把握,D_stat,0,0,13,0.0
腎症候性出血熱,全数把握,D_growth,0,0,13,0.0
腎症候性出血熱,全数把握,D_spatial,0,0,13,0.0
腎症候性出血熱,全数把握,combined,0,0,13,0.0
腸チフス,全数把握,D_rare,21,21,13,1.615
腸チフス,全数把握,D_stat,0,0,13,0.0
腸チフス,全数把握,D_growth,0,0,13,0.0
腸チフス,全数把握,D_spatial,0,0,13,0.0
腸チフス,全数把握,combined,21,21,13,1.615
腸管出血性大腸菌感染症,全数把握,D_rare,0,0,13,0.0
腸管出血性大腸菌感染症,全数把握,D_stat,8,8,13,0.615
腸管出血性大腸菌感染症,全数把握,D_growth,0,0,13,0.0
腸管出血性大腸菌感染症,全数把握,D_spatial,0,0,13,0.0
腸管出血性大腸菌感染症,全数把握,combined,8,8,13,0.615
西部ウマ脳炎,全数把握,D_rare,0,0,13,0.0
西部ウマ脳炎,全数把握,D_stat,0,0,13,0.0
西部ウマ脳炎,全数把握,D_growth,0,0,13,0.0
西部ウマ脳炎,全数把握,D_spatial,0,0,13,0.0
西部ウマ脳炎,全数把握,combined,0,0,13,0.0
重症急性呼吸器症候群,全数把握,D_rare,0,0,13,0.0
重症急性呼吸器症候群,全数把握,D_stat,0,0,13,0.0
重症急性呼吸器症候群,全数把握,D_growth,0,0,13,0.0
重症急性呼吸器症候群,全数把握,D_spatial,0,0,13,0.0
重症急性呼吸器症候群,全数把握,combined,0,0,13,0.0
重症熱性血小板減少症候群,全数把握,D_rare,32,32,13,2.462
重症熱性血小板減少症候群,全数把握,D_stat,1,1,13,0.077
重症熱性血小板減少症候群,全数把握,D_growth,0,0,13,0.0
重症熱性血小板減少症候群,全数把握,D_spatial,0,0,13,0.0
重症熱性血小板減少症候群,全数把握,combined,32,32,13,2.462
類鼻疽,全数把握,D_rare,0,0,13,0.0
類鼻疽,全数把握,D_stat,0,0,13,0.0
類鼻疽,全数把握,D_growth,0,0,13,0.0
類鼻疽,全数把握,D_spatial,0,0,13,0.0
類鼻疽,全数把握,combined,0,0,13,0.0
風しん,全数把握,D_rare,12,10,13,0.769
風しん,全数把握,D_stat,1,1,13,0.077
風しん,全数把握,D_growth,2,1,13,0.077
風しん,全数把握,D_spatial,1,0,13,0.0
風しん,全数把握,combined,13,11,13,0.846
